"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"S312425","400","410","363.411931517689","101.566410119218","3.57807203278248","1.83918243163018","0.720519880304825","0.720519880304825","1","weekday","0","0","400"
"S312425","410","420","363.167609174185","106.466524452872","3.41109669016144","1.77023564983239","0.706839151500959","0.706839151500959","1","weekday","0","0","410"
"S312425","420","430","368.626432962453","111.697554954248","3.30021935675713","1.72256191974023","0.696989838583755","0.696989838583755","1","weekday","0","0","420"
"S312425","430","440","368.83512139838","117.389960065249","3.14196479148107","1.6516670140375","0.681727814801955","0.681727814801955","1","weekday","0","0","430"
"S312425","440","450","355.67340611167","123.681104563058","2.87572954145418","1.52392799860383","0.652262152756436","0.652262152756436","1","weekday","0","0","440"
"S312425","450","460","340.651774775874","130.715923461182","2.60604649958377","1.38186282608579","0.616276992693831","0.616276992693831","1","weekday","0","0","450"
"S312425","460","470","328.550941048452","138.647845260525","2.36967938759589","1.24469187886414","0.578001984051299","0.578001984051299","1","weekday","0","0","460"
"S312425","470","480","320.896024508381","147.639661327421","2.17350826751579","1.12002558330008","0.539914333455486","0.539914333455486","1","weekday","0","0","470"
"S312425","480","490","319.090039994556","157.863976320238","2.02129736899101","1.01528158357285","0.505268242396622","0.505268242396622","1","weekday","0","0","480"
"S312425","490","500","323.227180887187","169.502801185952","1.90691350600509","0.931239407212559","0.475592365961595","0.475592365961595","1","weekday","0","0","490"
"S312425","500","510","326.30037188317","182.713334145817","1.78585965500887","0.836618708130785","0.440045584099924","0.440045584099924","1","weekday","0","0","500"
"S312425","510","520","314.384576197016","197.47292438782","1.59203889430225","0.670875582069713","0.371874642272309","0.371874642272309","1","weekday","0","0","510"
"S312425","520","530","281.894611837707","213.505908401581","1.32031293160981","0.400879907898736","0.24260379788848","0.24260379788848","1","weekday","0","0","520"
"S312425","530","540","250.099431190222","230.339299965139","1.08578705947302","0.118741194887597","0.0790091010245196","0.0790091010245196","1","weekday","0.25","0.322197962154294","530"
"S312425","540","550","237.064145067339","247.294439333254","0.958631118865846","-0.0609523217313009","-0.041368881134151","0.041368881134151","-1","weekend","0.55","0.655586968228325","540"
"S312425","550","560","236.667917543348","263.465146726772","0.898289282220641","-0.15474797417759","-0.101710717779366","0.101710717779366","-1","weekend","0.15","0.200558743581999","550"
"S312425","560","570","240.813090597919","277.836722478419","0.866743202445545","-0.206323477951965","-0.133256797554462","0.133256797554462","-1","weekend","0.05","0.0694540320050204","560"
"S312425","570","580","247.184079903923","289.819471046424","0.852889831768163","-0.22956869499259","-0.147110168231839","0.147110168231839","-1","weekend","0","0","570"
"S312425","580","590","260.091924604581","299.392034153653","0.868733616576778","-0.203014229653135","-0.131266383423227","0.131266383423227","-1","weekend","0","0","580"
"S312425","590","600","286.593035482374","306.755571322582","0.934271655594466","-0.0980859954928445","-0.0657283444055311","0.0657283444055311","-1","weekend","0.25","0.322197962154294","590"
"S312425","600","610","316.122030331495","312.353430523251","1.01206517822433","0.0173022043336623","0.0119213450713742","0.0119213450713742","1","weekday","0.8","0.873390875462392","600"
"S312425","610","620","333.719775269304","316.811713204174","1.05336943477918","0.075011503077773","0.0506654484334542","0.0506654484334542","1","weekday","0.45","0.55016570008285","610"
"S312425","620","630","339.065949570991","320.601251724611","1.05759396679537","0.0807858519097996","0.0544575409879331","0.0544575409879331","1","weekday","0.3","0.383179457587998","620"
"S312425","630","640","333.286046130865","323.970217353733","1.02875520118246","0.0408997246456116","0.0279514515692586","0.0279514515692586","1","weekday","0.6","0.686533988110623","630"
"S312425","640","650","322.916807606727","327.092834989007","0.987232898628243","-0.0185376231137826","-0.0127671013717441","0.0127671013717441","-1","weekend","0.8","0.873390875462392","640"
"S312425","650","660","318.56994687879","330.084369064936","0.965116729947668","-0.0512246493647188","-0.0348832700523351","0.0348832700523351","-1","weekend","0.45","0.55016570008285","650"
"S312425","660","670","323.303434772009","332.912637806057","0.971135961982779","-0.0422548034172014","-0.028864038017216","0.028864038017216","-1","weekend","0.6","0.686533988110623","660"
"S312425","670","680","332.101040649105","335.391995844839","0.99018773484011","-0.0142260157094241","-0.00981226515989511","0.00981226515989511","-1","weekend","0.9","0.93947182268333","670"
"S312425","680","690","338.47008839769","337.308954584637","1.00344234505865","0.00495772593070296","0.00343053597011052","0.00343053597011052","1","weekday","0.95","0.970385325334564","680"
"S312425","690","700","337.30367938471","338.625658065651","0.996096046919502","-0.00564323639548692","-0.00390395308049726","0.00390395308049726","-1","weekend","1","1","690"
"S312425","700","710","330.273616159775","339.484588687479","0.972867774165196","-0.0396843582459233","-0.0271322258347996","0.0271322258347996","-1","weekend","0.6","0.686533988110623","700"
"S312425","710","720","325.539044135801","340.029688313907","0.957384179452213","-0.0628301288280301","-0.0426158205477881","0.0426158205477881","-1","weekend","0.5","0.601004615802335","710"
"S312425","720","730","329.444064430485","340.359484018197","0.967929732825873","-0.0470257765023735","-0.032070267174126","0.032070267174126","-1","weekend","0.6","0.686533988110623","720"
"S312425","730","740","336.549978867866","340.525831908453","0.988324371698017","-0.0169434775338019","-0.0116756283019766","0.0116756283019766","-1","weekend","0.85","0.893812351543943","730"
"S312425","740","750","338.648743799324","340.533341887137","0.994465745769945","-0.00800641639639297","-0.00553425423005414","0.00553425423005414","-1","weekend","0.95","0.970385325334564","740"
"S312425","750","760","336.106726432985","340.339234008637","0.987563856432891","-0.0180540582236184","-0.0124361435671127","0.0124361435671127","-1","weekend","0.85","0.893812351543943","750"
"S312425","760","770","331.671686740952","339.853604390385","0.975925170297637","-0.0351575624467617","-0.0240748297023603","0.0240748297023603","-1","weekend","0.65","0.732014754515391","760"
"S312425","770","780","327.953904059866","338.977923959643","0.967478649432377","-0.0476982710441695","-0.0325213505676354","0.0325213505676354","-1","weekend","0.45","0.55016570008285","770"
"S312425","780","790","326.959598963952","337.755997054856","0.96803491815084","-0.0468690067527018","-0.0319650818491429","0.0319650818491429","-1","weekend","0.5","0.601004615802335","780"
"S312425","790","800","328.499049839283","336.372100083476","0.97659422335491","-0.0341688505612511","-0.0234057766450891","0.0234057766450891","-1","weekend","0.6","0.686533988110623","790"
"S312425","800","810","330.478807008554","334.998534772786","0.986508216320117","-0.0195970281301921","-0.0134917836798825","0.0134917836798825","-1","weekend","0.7","0.776083145504633","800"
"S312425","810","820","331.605975843671","333.758215164122","0.993551501588081","-0.00933334214824033","-0.00644849841193548","0.00644849841193548","-1","weekend","0.85","0.893812351543943","810"
"S312425","820","830","331.816715756764","332.725761718705","0.997267882242585","-0.00394700704231317","-0.00273211775741642","0.00273211775741642","-1","weekend","1","1","820"
"S312425","830","840","331.224971516441","331.928675567603","0.997879954029404","-0.0030618265627928","-0.00212004597059245","0.00212004597059245","-1","weekend","1","1","830"
"S312425","840","850","329.854042403745","331.348221579407","0.995490607529022","-0.00652039072985698","-0.0045093924709548","0.0045093924709548","-1","weekend","0.95","0.970385325334564","840"
"S312425","850","860","327.63689284651","330.919883716317","0.990079197318281","-0.0143841626158912","-0.00992080268171019","0.00992080268171019","-1","weekend","0.85","0.893812351543943","850"
"S312425","860","870","324.420074819085","330.533482611356","0.98150442205137","-0.026933327290455","-0.0184955779486208","0.0184955779486208","-1","weekend","0.85","0.893812351543943","860"
"S312425","870","880","319.971865157839","330.040389468037","0.969493054088239","-0.0446975326753035","-0.0305069459117737","0.0305069459117737","-1","weekend","0.65","0.732014754515391","870"
"S312425","880","890","314.091644411183","329.332993164446","0.953720553149521","-0.0683614865637783","-0.0462794468504649","0.0462794468504649","-1","weekend","0.35","0.443079782670861","880"
"S312425","890","900","306.993460795188","328.510710573741","0.934500614177927","-0.0977324827401951","-0.0654993858220576","0.0654993858220576","-1","weekend","0.15","0.200558743581999","890"
"S312425","900","910","299.269104188242","327.706413672641","0.91322321352915","-0.130960562506378","-0.0867767864708505","0.0867767864708505","-1","weekend","0.2","0.262496294100208","900"
"S312425","910","920","291.471304931779","326.877411753036","0.891683837584936","-0.165395827345559","-0.108316162415041","0.108316162415041","-1","weekend","0.15","0.200558743581999","910"
"S312425","920","930","284.018043549127","325.925719050352","0.871419550370766","-0.198560614286845","-0.128580449629237","0.128580449629237","-1","weekend","0.1","0.137569919204475","920"
"S312425","930","940","277.20480309679","324.836507216731","0.853367146051227","-0.22876152587793","-0.146632853948763","0.146632853948763","-1","weekend","0","0","930"
"S312425","940","950","271.220082481871","323.677161918548","0.837933948982545","-0.255091568422109","-0.162066051017448","0.162066051017448","-1","weekend","0","0","940"
"S312425","950","960","266.16050821904","322.494445473929","0.82531811618615","-0.276977786215627","-0.17468188381385","0.17468188381385","-1","weekend","0","0","950"
"S312425","960","970","262.043345697931","321.314233123328","0.815536066207661","-0.29417941489885","-0.184463933792351","0.184463933792351","-1","weekend","0","0","960"
"S312425","970","980","258.815357909021","320.213489896214","0.808258758845253","-0.307110858420143","-0.191741241154732","0.191741241154732","-1","weekend","0","0","970"
"S312425","980","990","256.357825270365","319.211615361037","0.803096795147687","-0.316354212420443","-0.196903204852322","0.196903204852322","-1","weekend","0","0","980"
"S312425","990","1000","254.488219125217","318.22564514248","0.799709963699734","-0.322451232138678","-0.200290036300251","0.200290036300251","-1","weekend","0","0","990"
"S312425","1000","1010","252.959619737165","317.365551875386","0.797060734041134","-0.327238436717246","-0.202939265958876","0.202939265958876","-1","weekend","0.05","0.0694540320050204","1000"
"S312425","1010","1020","251.459572123022","316.924885259802","0.793435870196455","-0.333814473576649","-0.206564129803552","0.206564129803552","-1","weekend","0.05","0.0694540320050204","1010"
"S312425","1020","1030","249.610716177227","317.032352183265","0.787335155097787","-0.344950197822451","-0.2126648449022","0.2126648449022","-1","weekend","0.05","0.0694540320050204","1020"
"S312425","1030","1040","247.058407690289","317.601435870567","0.77788819503629","-0.36236528165263","-0.222111804963688","0.222111804963688","-1","weekend","0.05","0.0694540320050204","1030"
"S312425","1040","1050","243.802294948045","318.46796128486","0.765547322136969","-0.385436534533698","-0.234452677863028","0.234452677863028","-1","weekend","0","0","1040"
"S312425","1050","1060","240.181497970097","319.422502404619","0.751924163645346","-0.411340930657159","-0.248075836354675","0.248075836354675","-1","weekend","0","0","1050"
"S312425","1060","1070","236.530304133102","320.208725011301","0.738675387826345","-0.436987586076549","-0.261324612173654","0.261324612173654","-1","weekend","0","0","1060"
"S312425","1070","1080","233.096032693811","320.523315009786","0.727235810245798","-0.459504853012088","-0.272764189754197","0.272764189754197","-1","weekend","0","0","1070"
"S312425","1080","1090","230.044766200227","320.027366966747","0.718828418896218","-0.4762806479341","-0.281171581103773","0.281171581103773","-1","weekend","0","0","1080"
"S312425","1090","1100","227.351890493961","318.387376166909","0.714073193576544","-0.485856134641609","-0.285926806423456","0.285926806423456","-1","weekend","0","0","1090"
